FIRE_CAUSE,LATITUDE,LONGITUDE,SIZE_HA,Year,Month,Weather City,Region Name,Region Number,Region Area,Lightning Dummy
Lightning,52.7163,-120.8649,0.009,2014,08,Williams Lake,Cariboo,41.0,8060975.0,1
Lightning,51.3333,-120.8167,0.009,2003,07,Williams Lake,Thompson-Nicola,33.0,4444942.0,1
Person,55.7837,-120.9953,2.5,2003,09,Dawson Creek,Peace River,55.0,11738755.0,0
Lightning,51.1633,-118.943,0.009,2007,07,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Lightning,54.851600000000005,-127.6553,0.009,2009,07,Smithers,Bulkley-Nechako + Stikine,51.0,19202453.0,1
Person,56.120900000000006,-120.5031,1.8,2015,07,Dawson Creek,Peace River,55.0,11738755.0,0
Lightning,49.3069,-120.473,0.1,2003,08,Penticton,Okanagan-Similkameen,7.0,1041168.0,1
Person,51.8789,-120.4961,0.009,2002,07,Williams Lake,Cariboo,41.0,8060975.0,0
Person,49.9964,-120.9117,0.1,2018,09,Penticton,Thompson-Nicola,33.0,4444942.0,0
Lightning,54.9662,-124.4591,0.009,2013,08,Prince George,Bulkley-Nechako + Stikine,51.0,19202453.0,1
Lightning,49.1872,-119.5004,0.009,2012,10,Penticton,Okanagan-Similkameen,7.0,1041168.0,1
Lightning,49.886300000000006,-117.616,0.009,2006,09,Nakusp,Central Kootenay,3.0,2209494.0,1
Lightning,49.5355,-122.0056,0.3,2009,07,Whistler,Fraser Valley,9.0,1333528.0,1
Lightning,49.0035,-118.0767,0.009,2013,07,Nakusp,Kooteny Boundary,5.0,808452.0,1
Person,50.0178,-120.6202,0.1,2001,07,Penticton,Thompson-Nicola,33.0,4444942.0,0
Lightning,51.715500000000006,-119.4468,0.009,2002,08,Nakusp,Thompson-Nicola,33.0,4444942.0,1
Lightning,52.331,-121.6225,0.009,2003,07,Williams Lake,Cariboo,41.0,8060975.0,1
Lightning,53.8153,-120.9016,0.009,2004,08,Prince George,Fraser-Fort George,53.0,5067610.0,1
Person,49.6514,-119.6925,2.0,2002,06,Penticton,Okanagan-Similkameen,7.0,1041168.0,0
Person,49.5746,-121.8208,0.009,2010,05,Whistler,Fraser Valley,9.0,1333528.0,0
Lightning,51.8964,-122.6524,0.009,2004,06,Williams Lake,Cariboo,41.0,8060975.0,1
Person,49.5736,-124.9234,0.009,2016,07,Tofino,Comox + Strathacona,25.0,1997796.0,0
Person,52.4714,-122.4336,0.009,2017,06,Williams Lake,Cariboo,41.0,8060975.0,0
Lightning,54.038900000000005,-122.5292,0.05,2010,07,Prince George,Fraser-Fort George,53.0,5067610.0,1
Person,49.7374,-120.8765,0.2,2001,07,Penticton,Okanagan-Similkameen,7.0,1041168.0,0
Lightning,49.6157,-118.6074,0.03,2015,08,Penticton,Kooteny Boundary,5.0,808452.0,1
Lightning,49.0607,-119.1412,0.04,2008,06,Penticton,Kooteny Boundary,5.0,808452.0,1
Lightning,50.8215,-119.6108,0.1,2012,07,Penticton,Thompson-Nicola,33.0,4444942.0,1
Person,49.3402,-124.6755,0.3,2003,06,Tofino,Nanaimo,21.0,203804.0,0
Lightning,56.761300000000006,-120.0437,0.009,2006,06,Dawson Creek,Peace River,55.0,11738755.0,1
Lightning,50.5306,-119.0071,0.009,2014,07,Penticton,North Okanagan,37.0,750260.0,1
Lightning,51.729600000000005,-120.4555,0.1,2007,07,Williams Lake,Cariboo,41.0,8060975.0,1
Lightning,52.302400000000006,-120.887,0.009,2019,06,Williams Lake,Cariboo,41.0,8060975.0,1
Lightning,54.1187,-121.6605,0.2,2007,07,Prince George,Fraser-Fort George,53.0,5067610.0,1
Lightning,50.0667,-121.1667,0.009,2009,07,Penticton,Thompson-Nicola,33.0,4444942.0,1
Lightning,51.8712,-117.8926,0.009,2007,07,Golden,Columbia-Shuswap,39.0,2892919.0,1
Lightning,50.9878,-118.1214,0.1,2004,07,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Lightning,50.7315,-120.1846,0.15,2014,08,Penticton,Thompson-Nicola,33.0,4444942.0,1
Lightning,51.5097,-121.7484,0.006,2007,08,Williams Lake,Thompson-Nicola,33.0,4444942.0,1
Lightning,49.2438,-124.1748,0.009,2010,08,Vancouver,Nanaimo,21.0,203804.0,1
Person,53.9271,-123.7256,0.009,2013,07,Prince George,Bulkley-Nechako + Stikine,51.0,19202453.0,0
Lightning,50.2941,-118.6841,0.009,2009,09,Nakusp,North Okanagan,37.0,750260.0,1
Unknown,55.015,-128.2501,0.1,2019,06,Smithers,Kitimat-Stikine,49.0,10446461.0,0
Person,53.8703,-122.9995,0.5,2004,05,Prince George,Fraser-Fort George,53.0,5067610.0,0
Lightning,49.211000000000006,-116.2465,1.14,2017,07,Sparwood,Central Kootenay,3.0,2209494.0,1
Lightning,53.979200000000006,-122.071,0.3,2013,08,Prince George,Fraser-Fort George,53.0,5067610.0,1
Lightning,54.7183,-125.1119,0.009,2006,07,Smithers,Bulkley-Nechako + Stikine,51.0,19202453.0,1
Lightning,51.9307,-124.6109,0.25,2012,08,Bella Coola,Cariboo,41.0,8060975.0,1
Person,49.168800000000005,-119.4505,0.009,2015,08,Penticton,Okanagan-Similkameen,7.0,1041168.0,0
Person,56.4451,-121.6629,300.0,2019,04,Dawson Creek,Peace River,55.0,11738755.0,0
Lightning,51.5759,-123.0251,30.0,2009,07,Williams Lake,Cariboo,41.0,8060975.0,1
Person,49.1054,-124.0717,0.03,2009,06,Vancouver,Nanaimo,21.0,203804.0,0
Lightning,49.5,-115.5,0.009,2002,08,Sparwood,East Kootenay,1.0,2754184.0,1
Lightning,53.6955,-121.1223,0.009,2015,07,Prince George,Fraser-Fort George,53.0,5067610.0,1
Person,48.7479,-123.6961,0.2,2019,06,Vancouver,Cowichan Valley,19.0,347452.0,0
