Index,name,code
0,Bulkey-Nechako,51
1,Cariboo,41
2,Fraser-Fort George,53
3,Kitimat-Stikine,49
4,Peace River,55
5,North Coast,47
6,Central Okanagan,35
7,Fraser Valley,9
8,Greater Vancouver,15
9,Okanagan-Similkameen,7
10,Squamish-Lillooet,31
11,Thompson-Nicola,33
12,Central Kootenay,3
13,Columbia-Shuswap,39
14,East Kootenay,1
15,Kooteny Boundary,5
16,North Okanagan,37
17,Alberni-Clayquot,23
18,Capital,17
19,Central Coast,45
20,Comox Valley,26
21,Cowichan Valley,19
22,Mount Waddington,43
23,Nanaimo,21
24,Powell River,27
25,Sunshine Coast,29
26,Strathacona,24
27,Silkine,57
