0,1,2
Kamloops,50.702222222222225,-120.44194444444445
Castlegar,49.296388888888885,-117.6325
Nanaimo,49.05444444444444,-123.86999999999999
Prince George,53.89083333333333,-122.67888888888889
Smithers,54.82472222222223,-127.18277777777779
Williams Lake,52.183055555555555,-122.05416666666666
Tofino,49.08222222222223,-125.7725
Port Hardy,50.680277777777775,-127.36611111111111
Vancouver,49.19499999999999,-123.18194444444445
Whistler,50.12888888888889,-122.95472222222223
Penticton,49.463055555555556,-119.60222222222221
Prince Rupert,54.32027777777778,-130.29
Dawson Creek,55.74166666666667,-120.18194444444445
Nakusp,50.25,-117.8
Dease Lake,58.42833333333333,-130.01055555555556
Bella Coola,52.3875,-126.59583333333333
Sparwood,49.74527777777778,-114.88277777777778
Golden,51.299166666666665,-116.98222222222222
Fort Nelson,58.83638888888889,-122.59722222222221
