Region Number,Code,Name,Year,Month,Tourism Money,Population,Tourism PC
17,RD17,Capital,2001,1,4907000.0,340002.0,14.432268045482086
17,RD17,Capital,2001,2,6541000.0,340002.0,19.238122128693362
17,RD17,Capital,2001,3,9673000.0,340002.0,28.449832648043248
17,RD17,Capital,2001,4,10321000.0,340002.0,30.355703789977706
17,RD17,Capital,2001,5,14285000.0,340002.0,42.01445873847801
17,RD17,Capital,2001,6,18381000.0,340002.0,54.06144669737237
17,RD17,Capital,2001,7,24038000.0,340002.0,70.6995841200934
17,RD17,Capital,2001,8,26632000.0,340002.0,78.32895100617056
17,RD17,Capital,2001,9,16693000.0,340002.0,49.09677001899989
17,RD17,Capital,2001,10,10942000.0,340002.0,32.182163634331566
17,RD17,Capital,2001,11,6609000.0,340002.0,19.438120952229692
17,RD17,Capital,2001,12,5938000.0,340002.0,17.464603149393238
19,RD19,Cowichan valley,2001,1,290000.0,75040.0,3.8646055437100215
19,RD19,Cowichan valley,2001,2,359000.0,75040.0,4.7841151385927505
19,RD19,Cowichan valley,2001,3,481000.0,75040.0,6.409914712153518
19,RD19,Cowichan valley,2001,4,573000.0,75040.0,7.63592750533049
19,RD19,Cowichan valley,2001,5,736000.0,75040.0,9.808102345415778
19,RD19,Cowichan valley,2001,6,759000.0,75040.0,10.114605543710022
19,RD19,Cowichan valley,2001,7,1046000.0,75040.0,13.939232409381663
19,RD19,Cowichan valley,2001,8,1203000.0,75040.0,16.031449893390192
19,RD19,Cowichan valley,2001,9,909000.0,75040.0,12.113539445628998
19,RD19,Cowichan valley,2001,10,535000.0,75040.0,7.12953091684435
19,RD19,Cowichan valley,2001,11,415000.0,75040.0,5.530383795309168
19,RD19,Cowichan valley,2001,12,323000.0,75040.0,4.304371002132196
21,RD21,Nanaimo,2001,1,1164000.0,132480.0,8.78623188405797
21,RD21,Nanaimo,2001,2,1421000.0,132480.0,10.72614734299517
21,RD21,Nanaimo,2001,3,1958000.0,132480.0,14.779589371980677
21,RD21,Nanaimo,2001,4,1993000.0,132480.0,15.043780193236715
21,RD21,Nanaimo,2001,5,2521000.0,132480.0,19.029287439613526
21,RD21,Nanaimo,2001,6,2806000.0,132480.0,21.180555555555557
21,RD21,Nanaimo,2001,7,4494000.0,132480.0,33.92210144927536
21,RD21,Nanaimo,2001,8,5452000.0,132480.0,41.15338164251208
21,RD21,Nanaimo,2001,9,3076000.0,132480.0,23.218599033816425
21,RD21,Nanaimo,2001,10,1959000.0,132480.0,14.78713768115942
21,RD21,Nanaimo,2001,11,1561000.0,132480.0,11.782910628019323
21,RD21,Nanaimo,2001,12,1407000.0,132480.0,10.620471014492754
23,RD23,Alberni-clayoquot,2001,1,788000.0,31608.0,24.930397367755
23,RD23,Alberni-clayoquot,2001,2,1005000.0,31608.0,31.795747911921033
23,RD23,Alberni-clayoquot,2001,3,1482000.0,31608.0,46.886864085041765
23,RD23,Alberni-clayoquot,2001,4,1756000.0,31608.0,55.55555555555556
23,RD23,Alberni-clayoquot,2001,5,2604000.0,31608.0,82.38420652999241
23,RD23,Alberni-clayoquot,2001,6,2938000.0,31608.0,92.95115160718805
23,RD23,Alberni-clayoquot,2001,7,4394000.0,31608.0,139.01543912933434
23,RD23,Alberni-clayoquot,2001,8,4932000.0,31608.0,156.0364464692483
23,RD23,Alberni-clayoquot,2001,9,3205000.0,31608.0,101.3983801569223
23,RD23,Alberni-clayoquot,2001,10,1739000.0,31608.0,55.017717033662365
23,RD23,Alberni-clayoquot,2001,11,1302000.0,31608.0,41.192103264996206
23,RD23,Alberni-clayoquot,2001,12,1074000.0,31608.0,33.97873955960517
25,RD25,Comox+strathcona,2001,1,1127000.0,100179.0,11.249862745685224
25,RD25,Comox+strathcona,2001,2,1222000.0,100179.0,12.198165284141387
25,RD25,Comox+strathcona,2001,3,1636000.0,100179.0,16.33076792541351
25,RD25,Comox+strathcona,2001,4,1450000.0,100179.0,14.47409137643618
25,RD25,Comox+strathcona,2001,5,2135000.0,100179.0,21.311851785304306
25,RD25,Comox+strathcona,2001,6,2623000.0,100179.0,26.18313219337386
25,RD25,Comox+strathcona,2001,7,3830000.0,100179.0,38.231565497759014
25,RD25,Comox+strathcona,2001,8,4440000.0,100179.0,44.32066600784596
25,RD25,Comox+strathcona,2001,9,3038000.0,100179.0,30.325716966629734
25,RD25,Comox+strathcona,2001,10,1640000.0,100179.0,16.370696453348508
25,RD25,Comox+strathcona,2001,11,1143000.0,100179.0,11.40957685742521
25,RD25,Comox+strathcona,2001,12,1317000.0,100179.0,13.14646782259755
43,RD43,Mount waddington,2001,1,180000.0,13650.0,13.186813186813186
43,RD43,Mount waddington,2001,2,0.0,13650.0,0.0
43,RD43,Mount waddington,2001,3,0.0,13650.0,0.0
43,RD43,Mount waddington,2001,4,278000.0,13650.0,20.366300366300365
43,RD43,Mount waddington,2001,5,419000.0,13650.0,30.695970695970697
43,RD43,Mount waddington,2001,6,717000.0,13650.0,52.527472527472526
43,RD43,Mount waddington,2001,7,970000.0,13650.0,71.06227106227107
