Region,Municipality,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22
Provincial Total,Provincial Total,"87,546","206,467","115,144","93,060","117,723","137,407","168,965","182,384","139,924","104,825","76,159","91,298","89,187","94,624","107,889","100,292","135,758","145,270","181,723","188,577","148,024","95,447","82,361","96,859","92,128","101,918","120,188","106,037","131,916","139,503","175,354","193,940","147,349","102,777","76,499","100,353","93,157","103,232","121,760","96,834","126,198","159,856","186,325","212,628","166,831","105,760","82,698","107,027","102,299","108,953","125,517","110,274","141,852","172,994","197,976","232,873","169,890","116,356","95,305","118,828","109,564","117,534","135,946","119,171","163,364","207,895","253,570","265,459","204,121","133,587","100,239","137,250","122,997","140,317","171,037","146,082","172,847","220,239","283,818","282,661","238,465","144,959","114,411","160,598","123,486","149,091","179,277","154,184","190,192","233,559","313,194","322,223","259,582","163,284","122,398","172,446","164,135","170,636","207,216","166,762","230,755","284,649","347,946","361,910","283,924","144,811","113,164","239,412","179,599","188,945","304,901","188,246","242,308","410,023","350,288","356,300","382,133","185,592","145,316","263,204","180,917","196,589","168,085","19,457","29,117","92,220","130,156","166,782","194,125","91,099","63,660","108,847","64,386","71,546","166,415","75,114","69,619","200,095","245,137","282,636","316,290","158,750","134,389","260,138","132,424","166,584","357,732","206,432","250,573","470,811","379,913"
The Islands,Campbell River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,920,"1,116","1,731","2,268","2,505","2,144","1,136",860,840,742,785,"1,040",995,"1,136","1,995","2,334","2,633","2,277","1,116",533,"1,246",698,703,"1,189",954,"1,031","1,844","1,946","3,206","1,949",838,589,785,470,551,792,174,268,709,"1,123","1,577","1,569",778,510,601,463,548,"1,273",636,644,"1,749","2,366","2,834","2,755","1,187",874,"1,230",639,665,"1,922",908,"1,051","2,778","2,327"
The Islands,Cowichan Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,956","1,960","1,671","1,040",819,722,778,749,959,"1,076","1,354","1,693","2,315","2,463","1,783",843,815,"1,365",810,853,"1,717","1,388","1,693","2,681","2,430","2,698","2,717","1,336","1,121","1,474",911,"1,090","1,307",199,385,"1,310","1,308","1,961","2,862","1,309","1,085","1,288",797,867,"2,411",923,"1,053","2,910","2,517","3,041","4,380","1,832","1,703","2,556","1,188","1,405","4,263","2,113","2,305","4,661","3,198"
The Islands,Parksville,624,600,938,991,"1,180","2,323","3,530","3,496","1,489","1,372",645,682,672,640,902,"1,060","1,166","1,418","3,608","3,450","1,501","1,237",594,777,625,689,"1,128","1,055","1,289","1,582","3,189","3,686","1,680","1,320",690,741,613,692,"1,134",844,"1,238","1,591","3,152","4,132","1,682","1,043",790,787,606,763,"1,113","1,152","1,361","1,765","3,535","4,256","1,881","1,100",886,971,736,891,"1,249","1,143","1,592","2,038","3,992","4,634","2,397","1,255",917,"1,004",700,971,"1,511","1,601","1,855","2,565","4,606","4,949","2,468","1,313",972,"1,104",671,926,"1,590","1,640","2,021","1,979","5,105","5,467","2,661","1,520","1,198","1,237",852,972,"1,770","1,572","2,061","2,932","4,833","5,639","2,768","1,434",762,"1,500",870,984,"2,101","1,750","2,320","3,116","4,843","5,697","3,001","1,556","1,268","1,465","1,082","1,265","1,343",199,436,"1,671","4,054","4,952","3,274","1,801","1,137","1,006",740,968,"2,225","1,069","1,107","3,183","6,416","6,884","4,495","2,687","1,976","2,320","1,101","1,657","3,846","2,591","3,164","4,711","5,442"
The Islands,Southern Gulf Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,293",679,451,685,330,508,482,79,257,"1,101","1,730","2,366","2,380","1,176",573,707,282,459,"2,861",463,434,"3,868","2,893","3,090","5,387","1,368",950,"2,942",532,690,"5,954","1,241","1,625","5,874","2,866"
The Islands,Tofino,975,"1,270","1,867","1,893","2,856","3,520","5,910","6,632","3,672","2,520","1,574","1,193",957,"1,276","1,749","1,862","2,503","3,325","5,774","6,749","3,678","2,210","1,535","1,320",751,"1,283","1,831","1,936","2,487","3,342","5,926","6,777","3,861","2,169","1,503","1,234",845,"1,388","2,060","1,735","2,657","3,672","6,182","7,024","4,294","2,254","1,652","1,426",948,"1,383","2,098","2,137","2,907","4,161","6,599","7,455","4,630","2,611","1,946","1,874","1,295","2,033","3,013","2,689","3,599","4,975","7,362","7,914","5,872","3,472","2,397","2,317","1,666","2,477","3,757","2,943","4,257","5,719","8,061","8,296","6,607","3,604","2,598","2,399","1,327","2,274","3,293","3,422","4,631","5,499","8,698","8,990","6,937","3,773","2,627","2,573","1,499","2,319","3,423","2,990","4,472","6,430","9,431","9,834","7,289","3,723","2,503","4,268","1,657","2,401","7,109","3,732","5,027","9,719","9,835","10,397","9,742","4,294","3,389","4,710","1,376","2,627","2,637",77,123,"3,643","8,109","9,596","12,431","6,009","3,595","1,834","1,071","1,702","4,435","2,418","1,663","6,454","11,859","12,948","11,765","7,435","5,353","5,209","2,499","4,216","8,346","6,151","7,723","11,247","13,521"
The Islands,Ucluelet,"1,871",267,384,444,629,779,"1,474","2,012","1,031",418,321,261,242,319,460,424,554,860,"1,575","2,027","1,099",454,318,322,240,346,411,439,596,798,"1,458","2,708","1,145",441,379,315,234,322,554,434,606,994,"1,316","1,656","1,886",606,422,406,311,398,524,500,777,"1,223","1,876","2,288","1,831",606,490,538,325,505,789,707,931,"1,567","2,377","2,363","2,366",878,581,674,473,670,"1,068",870,"1,096","1,942","2,818","2,908","2,859",944,723,680,338,688,"1,152",990,"1,391","1,850","2,979","3,058","3,166","1,052",734,769,461,735,"1,067",810,"1,203","2,202","3,220","3,382","3,226",712,627,"1,563",468,728,"2,850",930,"1,264","4,475","3,432","3,571","4,591",971,763,"1,684",441,742,"1,742",15,72,"1,400","1,995","2,778","5,397","1,504",918,"1,226",296,455,"3,151",770,503,"4,474","3,166","3,364","6,873","1,789","1,347","2,865",616,921,"6,521","1,473","1,771","6,950","3,435"
The Islands,Victoria,"4,692","5,936","8,802","9,478","11,561","14,160","17,084","17,472","14,679","9,313","6,433","5,975","5,987","6,601","8,333","8,745","12,834","14,121","17,135","17,548","13,677","9,365","5,987","6,285","4,900","6,301","7,615","8,558","12,060","13,510","15,920","18,155","14,838","8,988","5,805","6,507","4,790","6,331","8,607","9,570","12,592","16,136","17,563","20,060","15,408","9,957","6,581","6,509","4,789","6,016","7,920","9,465","13,327","21,956","15,640","18,290","15,884","11,251","7,200","7,305","5,626","7,334","10,095","10,497","14,106","18,066","23,457","23,061","19,378","11,564","7,486","8,033","5,668","7,976","11,314","12,410","15,925","19,859","25,736","25,097","22,815","12,317","8,639","9,216","5,303","8,243","10,739","13,349","16,548","21,606","25,966","27,805","23,733","13,874","9,331","9,778","7,065","8,808","12,156","14,019","19,606","25,631","28,360","29,643","24,095","11,439","9,626","14,767","7,576","8,632","17,961","14,233","20,040","30,718","27,496","27,963","27,798","15,551","10,766","14,894","6,925","10,236","8,809",728,"1,109","4,579","6,384","9,995","10,744","6,316","3,844","4,823","3,178","3,428","7,369","3,982","3,195","11,117","16,468","22,221","25,528","13,038","10,444","14,321","5,678","8,353","22,100","16,399","20,451","35,137","27,392"
The Islands,"Saanich, Oak Bay, Langford",511,564,648,954,"1,194","1,415","1,774","1,741","1,382",815,677,620,545,538,701,844,"1,288","1,445","1,814","1,582","1,248",800,613,652,497,613,742,808,"1,265","1,417","1,567","1,741","1,170",,,627,,,916,,,"2,301",,,,,,900,,,"1,079",,,,,,,,,"1,026",,,,,,,,,,,,,,,,,,"3,175",,"3,551","3,329",,,"1,422",,,"1,731",,,,,,,,,,"1,165","1,394","1,816","2,246","3,271","4,380","4,524","4,740","3,459","2,044",617,"3,681","1,117","1,313","5,819","2,336","3,555","10,097","3,504","3,605","7,464","1,826","1,174","2,594",948,"1,339","2,913",243,317,"1,061","1,261","1,808","4,303","1,078",840,"1,854",786,780,"2,908","1,007",908,"4,011","3,270","4,335","6,967","2,512","1,704","4,227","1,368","1,756","7,000","3,074","3,866","9,534","4,876"
The Islands,Central and North Island [1],753,"1,048","1,160",736,"1,131","1,531","2,720","3,178","2,160",833,702,"1,211",985,"1,052","1,192",925,"1,120","1,681","2,718","3,696","2,270",959,868,"1,037",820,837,793,529,842,"1,220","1,868","2,508","1,648",518,458,798,676,845,"1,743","1,466","1,900","2,144","3,245","4,034","3,043","1,552","1,159","1,188","1,087","1,216","1,578","1,252","1,642","2,152","3,566","4,123","2,755","1,523","1,158","1,368","1,213","1,120","1,446","2,943","3,790","4,431","6,427","6,995","5,076","3,181","2,685","3,027","2,557","2,998","3,872","3,693","3,967","5,667","7,402","7,870","6,142","3,591","3,327","3,428","2,765","3,340","4,292","4,051","4,943","4,951","8,461","9,746","6,884","4,000","3,484","3,680","3,242","3,460","4,356","4,214","4,933","6,544","8,334","10,021","7,264","3,010","3,277","5,245","3,483","3,702","7,149","4,303","5,837","9,273","8,718","10,730","9,058","4,217","3,780","5,224","3,338","4,401","7,276",760,"1,367","4,272","4,936","7,683","8,376","3,585","2,524","5,454","2,601","2,816","11,396","2,619","2,478","10,532","8,198","10,390","17,102","5,003","4,241","11,080","3,356","3,808","18,934","4,789","6,012","18,172","11,012"
