Weather City,Year,Month,Mean Max Temp,Mean Min Temp,Mean Temp,Total Rain,Total Snow,Total Precip
Bella Coola,1983.0,2,7.4,0.4,3.9,74.0,1.8,75.0
Bella Coola,1983.0,3,12.4,-0.8,5.8,37.5,0.0,37.5
Bella Coola,1983.0,4,16.3,2.6,9.5,9.5,0.0,9.5
Bella Coola,1983.0,5,19.3,7.0,13.2,36.0,0.0,36.0
Bella Coola,1983.0,6,17.9,10.9,14.4,89.4,0.0,89.4
Bella Coola,1983.0,7,20.5,11.3,15.9,68.7,0.0,68.7
Bella Coola,1983.0,8,21.5,11.1,16.3,35.8,0.0,35.8
Bella Coola,1983.0,9,16.2,7.6,11.9,118.8,0.0,118.8
Bella Coola,1983.0,10,11.1,4.0,7.6,146.0,0.0,146.0
Bella Coola,1983.0,11,7.1,1.3,4.2,71.0,0.0,71.0
Bella Coola,1983.0,12,-1.5,-6.4,-4.0,9.0,17.2,24.7
Bella Coola,1984.0,1,5.0,-0.4,2.3,310.5,12.0,326.7
Bella Coola,1984.0,2,7.0,0.5,3.8,71.6,1.4,73.0
Bella Coola,1984.0,3,11.8,2.5,7.2,40.0,0.0,40.0
Bella Coola,1984.0,4,13.4,2.3,7.9,49.7,0.0,49.7
Bella Coola,1984.0,5,15.3,5.4,10.4,40.3,0.0,40.3
Bella Coola,1984.0,6,18.7,8.9,13.8,52.4,0.0,52.4
Bella Coola,1984.0,7,22.0,10.6,16.3,33.5,0.0,33.5
Bella Coola,1984.0,8,20.0,11.2,15.6,71.6,0.0,71.6
Bella Coola,1984.0,9,16.5,5.9,11.2,145.7,0.0,145.7
Bella Coola,1984.0,10,9.6,2.7,6.2,208.5,46.5,244.3
Bella Coola,1984.0,11,3.4,-2.3,0.6,88.4,23.6,111.6
Bella Coola,1984.0,12,-0.7,-5.2,-3.0,147.7,25.5,173.2
Bella Coola,1985.0,1,4.5,-2.5,1.0,61.9,10.1,72.4
Bella Coola,1985.0,2,3.4,-2.0,0.7,132.6,32.2,167.8
Bella Coola,1985.0,3,8.8,0.0,4.4,86.4,1.0,88.0
Bella Coola,1985.0,4,12.3,2.6,7.5,74.4,0.0,74.4
Bella Coola,1985.0,5,18.4,6.2,12.3,11.2,0.0,11.2
Bella Coola,1985.0,6,19.2,8.1,13.7,55.5,0.0,55.5
Bella Coola,1985.0,7,25.4,10.1,17.8,27.4,0.0,27.4
Bella Coola,1985.0,8,22.5,10.1,16.3,15.3,0.0,15.3
Bella Coola,1985.0,9,18.9,6.2,12.6,54.8,0.0,54.8
Bella Coola,1985.0,10,10.2,4.5,7.4,320.0,1.1,321.1
Bella Coola,1985.0,11,-2.6,-8.0,-5.3,56.8,25.8,82.6
Bella Coola,1985.0,12,2.2,-3.6,-0.7,22.0,19.8,41.8
Bella Coola,1986.0,1,4.8,-0.1,2.4,185.8,11.0,198.2
Bella Coola,1986.0,2,2.9,-4.6,-0.9,95.0,23.8,118.6
Bella Coola,1986.0,3,11.1,1.8,6.5,114.7,2.6,117.3
Bella Coola,1986.0,4,11.8,2.5,7.2,87.4,0.0,87.4
Bella Coola,1986.0,5,16.1,5.9,11.0,96.4,0.0,96.4
Bella Coola,1986.0,6,20.9,8.8,14.9,35.1,0.0,35.1
Bella Coola,1986.0,7,21.7,11.5,16.6,43.1,0.0,43.1
Bella Coola,1986.0,8,25.4,11.5,18.5,29.8,0.0,29.8
Bella Coola,1986.0,9,18.5,7.3,12.9,62.0,0.0,62.0
Bella Coola,1986.0,10,15.0,4.9,10.0,73.1,0.0,73.1
Bella Coola,1986.0,11,5.3,0.5,2.9,261.9,65.2,327.1
Bella Coola,1986.0,12,3.3,-1.5,0.9,84.0,9.0,95.0
Bella Coola,1987.0,1,3.9,-1.6,1.2,181.6,12.0,193.4
Bella Coola,1987.0,2,7.0,0.6,3.8,116.2,8.0,124.6
Bella Coola,1987.0,3,11.1,0.9,6.0,57.8,18.0,69.4
Bella Coola,1987.0,4,13.4,3.9,8.7,83.0,0.0,83.0
Bella Coola,1987.0,5,17.5,5.3,11.4,43.6,0.0,43.6
Bella Coola,1987.0,6,21.1,8.7,14.9,63.2,0.0,63.2
Bella Coola,1987.0,7,24.5,11.1,17.8,17.9,0.0,17.9
Bella Coola,1987.0,8,24.2,10.5,17.4,32.5,0.0,32.5
Bella Coola,1987.0,9,19.5,8.8,14.2,99.4,0.0,99.4
Bella Coola,1987.0,10,14.0,3.8,8.9,160.2,0.0,160.2
Bella Coola,1987.0,11,8.1,3.2,5.7,166.7,18.0,185.9
Bella Coola,1987.0,12,2.8,-1.5,0.7,77.3,24.3,96.3
Bella Coola,1988.0,1,1.9,-2.8,-0.5,107.9,15.3,123.2
Bella Coola,1988.0,2,5.7,-0.6,2.6,113.8,51.9,165.8
Bella Coola,1988.0,3,9.7,1.2,5.5,103.6,5.0,108.6
Bella Coola,1988.0,4,14.5,2.3,8.4,32.5,2.2,34.7
Bella Coola,1988.0,5,16.9,6.2,11.6,55.4,0.0,55.4
Bella Coola,1988.0,6,18.8,8.2,13.5,66.1,0.0,66.1
Bella Coola,1988.0,7,21.4,11.1,16.3,24.2,0.0,24.2
Bella Coola,1988.0,8,21.9,10.8,16.4,66.6,0.0,66.6
Bella Coola,1988.0,9,18.0,6.8,12.4,161.6,0.0,161.6
Bella Coola,1988.0,10,15.2,5.6,10.4,133.2,0.0,133.2
Bella Coola,1988.0,11,6.3,1.7,4.0,118.2,10.1,139.7
Bella Coola,1988.0,12,3.8,-1.1,1.4,112.3,22.3,132.8
Bella Coola,1989.0,1,2.4,-2.2,0.1,233.6,99.5,324.1
Bella Coola,1989.0,2,2.5,-7.1,-2.3,13.3,0.0,13.3
Bella Coola,1989.0,3,8.8,-1.6,3.6,18.0,11.3,27.6
Bella Coola,1989.0,4,17.2,2.1,9.7,28.5,0.0,28.5
Bella Coola,1989.0,5,18.3,6.5,12.4,43.4,0.0,43.4
Bella Coola,1989.0,6,23.1,9.2,16.2,22.7,0.0,22.7
Bella Coola,1989.0,7,23.2,11.1,17.2,40.4,0.0,40.4
Bella Coola,1989.0,8,22.6,11.4,17.0,31.0,0.0,31.0
Bella Coola,1989.0,9,22.1,7.4,14.8,23.9,0.0,23.9
Bella Coola,1989.0,10,12.7,4.8,8.8,198.3,0.0,198.3
Bella Coola,1989.0,11,7.8,2.2,5.0,318.5,14.0,330.7
Bella Coola,1989.0,12,5.9,1.5,3.7,195.1,7.4,202.5
Bella Coola,1990.0,1,3.0,-0.8,1.1,185.6,33.0,218.6
Bella Coola,1990.0,2,3.0,-5.0,-1.0,47.1,125.2,136.3
Bella Coola,1990.0,3,11.1,0.3,5.7,23.8,2.0,25.8
Bella Coola,1990.0,4,15.2,4.1,9.7,34.0,0.0,34.0
Bella Coola,1990.0,5,19.0,7.1,13.1,50.8,0.0,50.8
Bella Coola,1990.0,6,20.6,10.5,15.6,51.7,0.0,51.7
Bella Coola,1990.0,7,25.9,11.2,18.6,13.8,0.0,13.8
Bella Coola,1990.0,8,25.4,11.8,18.6,19.5,0.0,19.5
Bella Coola,1990.0,9,22.2,7.8,15.0,19.8,0.0,19.8
Bella Coola,1990.0,10,9.4,4.0,6.7,341.4,2.0,343.4
Bella Coola,1990.0,11,5.1,0.5,2.8,210.0,131.0,330.4
Bella Coola,1990.0,12,0.5,-5.8,-2.7,118.5,74.1,181.6
Bella Coola,1991.0,1,0.5,-6.0,-2.8,83.8,2.4,87.0
